company,year,revenue
Tech Innovations,2018,5000000
Tech Innovations,2019,6000000
Tech Innovations,2020,6500000
Tech Innovations,2021,7000000
Tech Innovations,2022,7500000
Green Solutions,2018,3000000
Green Solutions,2019,3500000
Green Solutions,2020,4000000
Green Solutions,2021,4500000
Green Solutions,2022,4400000
Finance Corp,2018,8000000
Finance Corp,2019,9000000
Finance Corp,2020,9500000
Finance Corp,2021,10000000
Finance Corp,2022,10500000
Health Services,2018,2000000
Health Services,2019,2500000
Health Services,2020,2600000
Health Services,2021,2700000
Health Services,2022,2800000
EduTech,2018,1500000
EduTech,2019,1600000
EduTech,2020,1700000
EduTech,2021,1800000
EduTech,2022,1900000
Retail Giants,2018,9000000
Retail Giants,2019,8500000
Retail Giants,2020,9000000
Retail Giants,2021,9500000
Retail Giants,2022,10000000